[8/13/17, 10:01:38 AM] Divya: Em dng
[2/14/18, 7:26:23 AM] Tejaswini: Ya Adhey varennya tho relation lo unde  last lo aa pille kadha
[2/14/18, 7:27:08 AM] Divya: Haaa
[2/14/18, 7:27:11 AM] Divya: Thane
[2/14/18, 7:27:30 AM] Divya: Last ki evarno Pelli cheskunnadhi
[2/14/18, 7:27:50 AM] Divya: Asala varenya ni cheskuntadhi anukunnam
[2/14/18, 7:28:23 AM] Tejaswini: Adhey kadha varenya luks pretty thanu this guy
[2/14/18, 7:28:54 AM] Divya: Yaaa...
[2/14/18, 7:29:28 AM] Divya: Mundhu vàadu antha bagodu kani Varenya tho pair bavundedhi
[2/14/18, 7:32:28 AM] Tejaswini: Yaaa
[2/14/18, 7:32:31 AM] Tejaswini: Anthey
[2/14/18, 7:32:50 AM] Divya: Hmm
[2/14/18, 7:32:52 AM] Divya: Inka
[2/14/18, 7:32:56 AM] Divya: Wat dng
[2/14/18, 7:35:16 AM] Tejaswini: Lechane juz
[2/14/18, 7:35:21 AM] Divya: Hmm
[2/14/18, 7:35:26 AM] Divya: Clg undha
[2/14/18, 7:37:33 AM] Tejaswini: Ya pabbi
[2/14/18, 7:37:54 AM] Divya: Hmm Assignment emaindhi
[2/18/18, 12:28:08 PM] Divya: Emi chechi papa
[2/18/18, 1:06:55 PM] Tejaswini: Chicken vanduthunna
[2/18/18, 1:06:58 PM] Tejaswini: Wbu
[2/18/18, 1:07:31 PM] Divya: Nthng ma
[2/18/18, 1:07:47 PM] Divya: Abt to sleep
[2/18/18, 1:08:31 PM] Tejaswini: Appude
[2/18/18, 1:08:33 PM] Tejaswini: Y
[2/18/18, 1:08:38 PM] Tejaswini: Ramesh unnara
[2/18/18, 1:08:48 PM] Divya: Its 11.40 ma
[2/18/18, 1:08:57 PM] Divya: Haa..unnaru
[2/18/18, 1:09:16 PM] Divya: Chittodini bojjo pedthunnaru
[2/18/18, 1:09:18 PM] Tejaswini: Gurthunvachinda
[2/18/18, 1:09:22 PM] Tejaswini: Hahahah
[2/18/18, 1:09:26 PM] Tejaswini: Vadu bajjunada
[2/18/18, 1:09:36 PM] Divya: Inka ledhe
[2/18/18, 1:09:42 PM] Divya: Evaru ame
[2/18/18, 1:09:45 PM] Tejaswini: Pabbi I’m cmng on 9th 24 th varaku unta
[2/18/18, 1:09:48 PM] Tejaswini: Vasa
[2/18/18, 1:10:04 PM] Divya: Ohh.. Vasa ki pelli aipoindhhaaa
[2/18/18, 1:10:14 PM] Tejaswini: Engagement pelli march lo
[2/18/18, 1:10:27 PM] Divya: Okay..anantapur lone untaava
[2/18/18, 1:10:33 PM] Tejaswini: Ya mostly
[2/18/18, 1:10:42 PM] Divya: Okk
[2/18/18, 1:10:49 PM] Tejaswini: Inkoncham 2 days lo pakka schedule cheptha
[2/18/18, 1:10:55 PM] Divya: Ok ma
[2/18/18, 1:11:04 PM] Tejaswini: K gudnyt
[2/18/18, 1:11:09 PM] Tejaswini: Repu matladtha paduko
[2/18/18, 1:11:14 PM] Divya: Teja iphone x entha padthundhi akkada
[2/18/18, 1:19:23 PM] Tejaswini: 70k
[2/18/18, 1:19:40 PM] Divya: Ohh.. Ippudu series lo edhi best
[2/18/18, 1:25:33 PM] Tejaswini: Wait chusi cheptah
[2/18/18, 1:25:42 PM] Divya: Ok
[2/18/18, 1:27:37 PM] Tejaswini: 45k 7 plus 32gb
[2/18/18, 1:28:03 PM] Tejaswini: 52k 7plus 128gb
[2/18/18, 1:28:31 PM] Divya: 7 plus better
[2/18/18, 1:29:27 PM] Tejaswini: 54k 8 plus 64 gb
[2/18/18, 9:22:36 PM] Divya: Seminar ka dress code
[2/18/18, 9:50:29 PM] Tejaswini: Career fair ki
[2/18/18, 11:56:42 PM] Divya: Ohhhhh
[2/19/18, 4:55:26 AM] Divya: Teja.. Vipanchi ki mrg aipoyi papa kuda puttindhi antane
[2/19/18, 6:45:30 AM] Tejaswini: Evaritho
[2/19/18, 6:54:32 AM] Divya: Ajay thone anta
[2/20/18, 8:41:31 AM] Tejaswini: Papa I will cal u in my evening I have xam now reading
[2/20/18, 8:41:49 AM] Divya: K ma Study well
[2/21/18, 8:45:22 AM] Divya: Ento mana batch abbayilu started marriages
[2/22/18, 10:16:05 AM] Divya: Papa.. Nee india plan from 4th to 24 ahh
[2/22/18, 10:28:51 AM] Tejaswini: No 7th ante 9 th vasthay
[2/22/18, 10:28:59 AM] Tejaswini: Vastha indiaki *
[2/22/18, 10:33:36 AM] Divya: Okk.. Eppati varaku untav
[2/22/18, 10:43:06 AM] Tejaswini: 24th
[2/22/18, 10:44:10 AM] Divya: Okk.. Nenu eh dates lo plan cheskunte better.. Ante nuv stamping ki adhi kani velthava
[2/22/18, 10:44:33 AM] Tejaswini: 14th ala
[2/22/18, 10:44:45 AM] Divya: K ne..Em dng
[2/22/18, 10:46:56 AM] Tejaswini: Edho project ki research chesthuna
[2/25/18, 9:11:39 AM] Tejaswini: 😂😂😂😂
[3/3/18, 2:38:24 AM] Divya: Naa koduku chudu..
[3/3/18, 10:44:35 AM] Tejaswini: Pabbi cal me
[3/4/18, 10:57:13 AM] Divya: Em dng
[3/4/18, 11:13:44 AM] Tejaswini: Hii pabbi
[3/4/18, 11:13:50 AM] Tejaswini: Chadiving
[3/4/18, 11:18:41 AM] Divya: Y .. Xam ahh
[3/4/18, 11:18:53 AM] Tejaswini: ya paps
[3/4/18, 11:19:24 AM] Divya: Ohh...Gudd gud Keep gng😛
[3/4/18, 11:19:39 AM] Tejaswini: em gud ooo
[3/9/18, 5:09:52 AM] Divya: Hii ye
[3/9/18, 4:51:43 PM] Tejaswini: Hii divya
[3/9/18, 10:12:23 PM] Divya: Anantapur ki ochesava
[3/9/18, 10:30:14 PM] Tejaswini: Ya ochesana
[3/9/18, 10:34:37 PM] Divya: Avnaaa
[3/9/18, 10:35:27 PM] Divya: iPhone amount transfer chestha.. Account no pettave
[3/9/18, 11:44:54 PM] Tejaswini: Ya chesthane repu estha ok na
[3/9/18, 11:45:03 PM] Tejaswini: Monday estha account details
[3/9/18, 11:58:08 PM] Divya: Ok ne
[3/10/18, 12:19:04 AM] Divya: Teja
[3/10/18, 12:24:01 AM] Divya: Memu flat teesukunname
[3/10/18, 12:24:09 AM] Divya: 3bh
[3/12/18, 7:42:49 AM] Divya: Teja.. Nenu Wednesday anantapur ku osthunnane
[3/12/18, 6:47:23 PM] Tejaswini: Pabbi
[3/12/18, 6:47:28 PM] Tejaswini: Super newss
[3/12/18, 7:11:45 PM] Tejaswini: Ok vachesey na phone Available lo lekapothey 9440304625 ma amma num dheeniki cal cheyava
[3/12/18, 11:13:06 PM] Divya: K ne
[3/12/18, 11:13:06 PM] Divya: Nenu repu start avthanu.. Thursday mrng ki ostha akkadiki.. Prashanti ki teesukunna..
[3/13/18, 12:04:20 AM] Tejaswini: Ohk papa sure ya mrng 6-7 madhayalo vasthundi ekadiki
[3/13/18, 12:06:00 AM] Divya: Haaa
[3/13/18, 12:07:05 AM] Tejaswini: Ohkk vachesey
[3/13/18, 12:07:14 AM] Divya: 😄😄
[3/13/18, 12:07:17 AM] Tejaswini: Entha padindi flat
[3/13/18, 12:07:44 AM] Divya: 58l ..
[3/13/18, 12:08:03 AM] Divya: With registration 62l
[3/13/18, 12:08:30 AM] Divya: Edaina 75 avthadhe with cupboards and furniture
[3/13/18, 12:08:31 AM] Tejaswini: Wowww 😍😍
[3/13/18, 12:09:02 AM] Tejaswini: Evaru petkuntunaru antha
[3/13/18, 12:09:28 AM] Divya: Half nenu Half maa aayana
[3/13/18, 6:42:13 AM] Tejaswini: Ohkkk 👌👌
[3/13/18, 6:42:45 AM] Tejaswini: Entha square feet n main area na antha costly ga undi price
[3/13/18, 6:43:12 AM] Divya: Avne.. 1450 sq ft
[3/13/18, 6:43:23 AM] Divya: Haa..area konchm costly ne
[3/13/18, 6:43:41 AM] Divya: Aina ippudu kkd lo rates baaga perigipoyayi
[3/13/18, 6:43:44 AM] Tejaswini: No problem le okati unte better
[3/13/18, 6:43:49 AM] Divya: Hmm
[3/13/18, 6:44:02 AM] Tejaswini: Epudu shift avthunaru aythey
[3/13/18, 6:44:18 AM] Divya: Inka cupboards cheyinchali
[3/13/18, 6:44:23 AM] Divya: Mstly in may
[3/13/18, 6:44:36 AM] Tejaswini: Opening eppudu??
[3/13/18, 6:45:02 AM] Divya: Telidhe inka muhurtham pettaledhu
[3/13/18, 6:45:14 AM] Divya: Naaku telsi may lone untadhe
[3/14/18, 5:16:31 AM] Divya: ‎Missed voice call
[3/16/18, 9:35:07 AM] Tejaswini: oligalu
[3/16/18, 10:05:09 AM] Divya: Evng digina pics pampe
[3/16/18, 11:17:02 AM] Divya: Idharu pillalu
[3/16/18, 11:44:58 PM] Divya: ‎Missed voice call
[3/17/18, 1:16:19 AM] Tejaswini: Reached????
[3/17/18, 2:24:08 AM] Divya: Haa...Jst now
[3/17/18, 5:49:39 AM] Tejaswini: Y so late
[3/17/18, 5:50:06 AM] Divya: 1hr late train
[3/17/18, 5:50:23 AM] Tejaswini: Oh anthena
[3/17/18, 5:50:30 AM] Tejaswini: Ela unnadu chinnodu
[3/17/18, 5:50:30 AM] Divya: Haaa
[3/17/18, 5:50:40 AM] Divya: Bane unnade
[3/17/18, 5:50:44 AM] Divya: Adukuntnadu
[3/17/18, 5:50:47 AM] Tejaswini: Ninna nyt padukunada vadu
[3/17/18, 5:50:55 AM] Divya: Haaa
[3/17/18, 5:51:00 AM] Divya: 11 ke
[3/17/18, 6:55:44 AM] Tejaswini: Bhale unnade
[3/17/18, 9:18:39 AM] Divya: 😄😄
[3/17/18, 9:18:51 AM] Divya: Ninna evng pics pampinchave
[3/18/18, 8:04:58 AM] Tejaswini: Happy ugadi divya
[3/21/18, 7:46:10 AM] Divya: Hii ye
[3/26/18, 4:17:03 AM] Divya: Papa
[3/26/18, 4:17:06 AM] Divya: Reached ahh
[3/26/18, 4:21:28 AM] Tejaswini: Ya pabbi
[3/26/18, 4:21:36 AM] Divya: Wen
[3/26/18, 4:21:57 AM] Tejaswini: Meeku evala mrng
[3/26/18, 4:22:23 AM] Divya: Kkk
[3/26/18, 4:25:17 AM] Divya: Em dng
[3/26/18, 4:25:26 AM] Divya: Y still awake
[3/29/18, 12:53:47 AM] Divya: Der
[4/8/18, 9:50:48 AM] Tejaswini: Hii pabbi
[4/8/18, 9:51:04 AM] Tejaswini: I was busy sry papa so that apatinundi ping cheyaledhu
[4/8/18, 9:56:49 AM] Divya: Parvaledhe
[4/8/18, 10:00:28 AM] Tejaswini: Em dng
[4/8/18, 10:00:45 AM] Divya: Em ledhe
[4/8/18, 10:00:48 AM] Divya: Nuvvu
[4/8/18, 10:01:02 AM] Tejaswini: Eppude lecha inka
[4/8/18, 10:01:40 AM] Divya: No weekend specials ahh
[4/8/18, 10:05:45 AM] Tejaswini: Evaro intiki vastharu anta velli vanta cheyali ye
[4/8/18, 10:08:32 AM] Divya: Frns ahh
[4/8/18, 10:16:47 AM] Tejaswini: Yaaa
[4/8/18, 10:17:04 AM] Divya: Hmm... enjoy
[4/11/18, 12:21:35 PM] Tejaswini: Der
[4/12/18, 12:57:18 AM] Divya: Hii ye
[4/12/18, 8:27:26 AM] Tejaswini: Cal me
[4/12/18, 10:11:49 AM] Divya: Busy ne
[4/12/18, 10:11:50 AM] Divya: Will cal u later
[4/19/18, 9:14:38 AM] Tejaswini: Congratulations Divya for ur new house 🏠🎉🎉🎉
[4/19/18, 9:16:59 AM] Tejaswini: Chinodi n ur red saree is good
[4/19/18, 10:21:59 AM] Tejaswini: Pabbi red saree lo super unnav go for dark colors only from next tym
[4/19/18, 10:22:23 AM] Tejaswini: I donw y u luk lyk me in some pics in red saree 😝
[4/19/18, 10:28:53 AM] Divya: 🤦‍♀
[4/19/18, 11:46:22 PM] Divya: Andhariki red pichi pichi va nachindhe
[4/19/18, 11:46:39 PM] Divya: Adhi asala costly ne kadhu
[4/22/18, 10:35:00 PM] Divya: Hii ye
[4/25/18, 12:02:24 AM] Divya: Kadhe.. Mana batch
[4/25/18, 12:02:32 AM] Divya: Ece
[4/25/18, 12:02:44 AM] Divya: Varshiitha valla class anukunta
[4/25/18, 12:05:15 AM] Tejaswini: Ohhh avna ok
